,parent,left_child,right_child,distance,size
462,6260,5279.0,5671.0,7.831601328711963,2.0
463,6261,5027.0,4882.0,7.832682401154817,2.0
464,6262,5118.0,3953.0,7.834095618890846,2.0
465,6263,5180.0,4424.0,7.838186977941626,2.0
466,6264,4256.0,4670.0,7.842234325443461,2.0
467,6265,1507.0,1913.0,7.843720644348963,2.0
468,6266,6194.0,58.0,7.845039680884681,6.0
469,6267,2009.0,2633.0,7.845650639498826,2.0
470,6268,6105.0,4213.0,7.846366805702956,6.0
471,6269,5421.0,4549.0,7.851522610173205,2.0
472,6270,4904.0,4565.0,7.852086504252746,2.0
473,6271,3978.0,4884.0,7.854687624072793,2.0
474,6272,4289.0,5440.0,7.854773519089009,2.0
475,6273,3874.0,5460.0,7.861201996866122,2.0
476,6274,705.0,135.0,7.862359727656446,2.0
477,6275,4965.0,4333.0,7.862857367408273,2.0
478,6276,5872.0,5782.0,7.864043600768152,3.0
479,6277,6266.0,510.0,7.8652160385573655,7.0
480,6278,6253.0,6082.0,7.8678379391510544,8.0
481,6279,4374.0,4955.0,7.873099706226362,2.0
482,6280,2960.0,5849.0,7.873412096083297,3.0
483,6281,4925.0,5128.0,7.873626768118534,2.0
484,6282,196.0,5970.0,7.8739799121534535,3.0
485,6283,3961.0,4807.0,7.874389081410996,2.0
486,6284,6188.0,6219.0,7.876789589435857,6.0
487,6285,4678.0,5589.0,7.8787772727556105,2.0
488,6286,6206.0,4700.0,7.880196027753619,3.0
489,6287,5103.0,4401.0,7.882631884847696,2.0
490,6288,3884.0,5093.0,7.885191633456075,2.0
491,6289,4538.0,5608.0,7.888599574964154,2.0
492,6290,5257.0,5507.0,7.890496436464915,2.0
493,6291,6068.0,4211.0,7.891206865687674,3.0
494,6292,5252.0,4692.0,7.891712199826212,2.0
495,6293,4070.0,4158.0,7.893051186563917,2.0
496,6294,2191.0,2140.0,7.89440684540504,2.0
497,6295,6235.0,6165.0,7.894548356836991,12.0
498,6296,2362.0,3298.0,7.894648726210053,2.0
499,6297,3266.0,2331.0,7.895569211317457,2.0
500,6298,4482.0,5439.0,7.898328980788826,2.0
501,6299,5173.0,5019.0,7.903425031939528,2.0
502,6300,3946.0,3928.0,7.903622726717417,2.0
503,6301,6233.0,5303.0,7.909951244137414,3.0
504,6302,6291.0,6250.0,7.912347617311658,10.0
505,6303,6103.0,4282.0,7.914535467720598,3.0
506,6304,4196.0,4573.0,7.9161618347835185,2.0
507,6305,6099.0,5345.0,7.917182964793901,3.0
508,6306,592.0,29.0,7.924727684465303,2.0
509,6307,4811.0,4718.0,7.92503686942136,2.0
510,6308,1615.0,1726.0,7.926333043269287,2.0
511,6309,6295.0,4153.0,7.9265875016533975,13.0
512,6310,6154.0,5936.0,7.927553277426511,9.0
513,6311,4065.0,6141.0,7.929324927341905,3.0
514,6312,5980.0,5264.0,7.93062670967,4.0
515,6313,6040.0,6260.0,7.931999062449953,4.0
516,6314,6240.0,6064.0,7.932676242088548,15.0
